Company,Region,Year,Quarter,MAU
FB,Worldwide,2005,1,2
FB,Worldwide,2005,2,2
FB,Worldwide,2005,3,4
FB,Worldwide,2005,4,6
FB,Worldwide,2006,1,7
FB,Worldwide,2006,2,8
FB,Worldwide,2006,3,10
FB,Worldwide,2006,4,12
FB,Worldwide,2007,1,20
FB,Worldwide,2007,2,29
FB,Worldwide,2007,3,50
FB,Worldwide,2007,4,58
FB,Worldwide,2008,1,70
FB,Worldwide,2008,2,84
FB,Worldwide,2008,3,100
FB,Worldwide,2008,4,145
FB,Worldwide,2009,1,197
FB,Worldwide,2009,2,242
FB,Worldwide,2009,3,305
FB,Worldwide,2009,4,360
FB,Worldwide,2010,1,431
FB,Worldwide,2010,2,482
FB,Worldwide,2010,3,550
FB,Worldwide,2010,4,608
FB,Worldwide,2011,1,680
FB,Worldwide,2011,2,739
FB,Worldwide,2011,3,800
FB,Worldwide,2011,4,845
FB,Worldwide,2012,1,901
FB,Worldwide,2012,2,955
FB,Worldwide,2012,3,1007
FB,Worldwide,2012,4,1056
FB,Worldwide,2013,1,1110
FB,Worldwide,2013,2,1155
FB,Worldwide,2013,3,1189
FB,Worldwide,2013,4,1228
FB,Worldwide,2014,1,1276
FB,Worldwide,2014,2,1317
FB,Worldwide,2014,3,1350
FB,Worldwide,2014,4,1393
FB,Worldwide,2015,1,1441
FB,Worldwide,2015,2,1490
FB,Worldwide,2015,3,1545
FB,Worldwide,2015,4,1591
FB,Worldwide,2016,1,1654
FB,Worldwide,2016,2,1712
FB,Worldwide,2016,3,1788
FB,Worldwide,2016,4,1860
FB,Worldwide,2017,1,1936
FB,Worldwide,2017,2,2006
FB,Worldwide,2017,3,2072
FB,Worldwide,2017,4,2129
FB,Rest of World,2005,1,0
FB,Rest of World,2005,2,0
FB,Rest of World,2005,3,0
FB,Rest of World,2005,4,0
FB,Rest of World,2006,1,0
FB,Rest of World,2006,2,0
FB,Rest of World,2006,3,0
FB,Rest of World,2006,4,0
FB,Rest of World,2007,1,1
FB,Rest of World,2007,2,2
FB,Rest of World,2007,3,4
FB,Rest of World,2007,4,6
FB,Rest of World,2008,1,8
FB,Rest of World,2008,2,11
FB,Rest of World,2008,3,15
FB,Rest of World,2008,4,23
FB,Rest of World,2009,1,33
FB,Rest of World,2009,2,44
FB,Rest of World,2009,3,58
FB,Rest of World,2009,4,69
FB,Rest of World,2010,1,83
FB,Rest of World,2010,2,98
FB,Rest of World,2010,3,126
FB,Rest of World,2010,4,133
FB,Rest of World,2011,1,161
FB,Rest of World,2011,2,183
FB,Rest of World,2011,3,207
FB,Rest of World,2011,4,225
FB,Rest of World,2012,1,245
FB,Rest of World,2012,2,268
FB,Rest of World,2012,3,288
FB,Rest of World,2012,4,304
FB,Rest of World,2013,1,327
FB,Rest of World,2013,2,346
FB,Rest of World,2013,3,362
FB,Rest of World,2013,4,376
FB,Rest of World,2014,1,395
FB,Rest of World,2014,2,411
FB,Rest of World,2014,3,423
